exp1 | INFO flwr 2023-11-21 00:48:47,936 | app.py:151 | Starting Flower server, config: ServerConfig(num_rounds=20, round_timeout=None)
exp1 | INFO flwr 2023-11-21 00:48:49,108 | app.py:172 | Flower ECE: gRPC server running (20 rounds), SSL is disabled
exp1 | INFO flwr 2023-11-21 00:48:49,108 | server.py:86 | Initializing global parameters
exp1 | INFO flwr 2023-11-21 00:48:49,108 | server.py:273 | Requesting initial parameters from one random client
exp1 | INFO flwr 2023-11-21 00:54:11,962 | server.py:277 | Received initial parameters from one random client
exp1 | INFO flwr 2023-11-21 00:54:11,963 | server.py:88 | Evaluating initial parameters
exp1 | INFO flwr 2023-11-21 00:54:11,963 | server.py:101 | FL starting
exp1 | DEBUG flwr 2023-11-21 00:54:24,690 | server.py:223 | fit_round 1: strategy sampled 2 clients (out of 2)
exp1 | DEBUG flwr 2023-11-21 01:00:19,460 | server.py:237 | fit_round 1 received 2 results and 0 failures
exp1 | WARNING flwr 2023-11-21 01:00:20,139 | fedavg.py:243 | No fit_metrics_aggregation_fn provided
exp1 | DEBUG flwr 2023-11-21 01:00:20,139 | server.py:173 | evaluate_round 1: strategy sampled 2 clients (out of 2)
exp1 | DEBUG flwr 2023-11-21 01:01:12,025 | server.py:187 | evaluate_round 1 received 0 results and 2 failures
