         21065184 function calls (20204408 primitive calls) in 1464.394 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     6323 1328.995    0.210 1328.995    0.210 {method 'acquire' of '_thread.lock' objects}
      120   60.089    0.501   60.090    0.501 {method 'poll' of 'select.poll' objects}
      640   14.704    0.023   14.742    0.023 {built-in method matplotlib._image.resample}
    43460    7.031    0.000    7.031    0.000 {built-in method torch.conv2d}
       80    4.951    0.062    4.951    0.062 {method 'tobytes' of 'numpy.ndarray' objects}
     2074    4.786    0.002    4.786    0.002 {method 'item' of 'torch._C._TensorBase' objects}
      120    4.343    0.036    4.404    0.037 {built-in method posix.fork}
      124    2.802    0.023    2.802    0.023 {method 'encode' of 'ImagingEncoder' objects}
      715    2.240    0.003    2.240    0.003 {method 'run_backward' of 'torch._C._EngineBase' objects}
    43460    1.936    0.000    1.936    0.000 {built-in method torch.batch_norm}
      320    1.324    0.004    1.326    0.004 {method 'draw_image' of 'matplotlib.backends._backend_agg.RendererAgg' objects}
       80    1.217    0.015    1.217    0.015 {method 'encode_to_file' of 'ImagingEncoder' objects}
    78024    0.938    0.000    0.938    0.000 {method 'to' of 'torch._C._TensorBase' objects}
     1887    0.937    0.000    0.957    0.001 /scratch/sq58/emok/miniconda/conda/envs/exp1/lib/python3.7/site-packages/torch/serialization.py:1076(load_tensor)
     1898    0.903    0.000    0.903    0.000 {method 'set_text' of 'matplotlib.ft2font.FT2Font' objects}
    22273    0.877    0.000    1.023    0.000 /scratch/sq58/emok/miniconda/conda/envs/exp1/lib/python3.7/site-packages/numpy/core/fromnumeric.py:51(_wrapfunc)
      320    0.687    0.002   16.477    0.051 /scratch/sq58/emok/miniconda/conda/envs/exp1/lib/python3.7/site-packages/matplotlib/image.py:310(_make_image)
    40180    0.598    0.000    0.598    0.000 {built-in method torch.relu_}
    13120    0.597    0.000    9.353    0.001 /scratch/sq58/emok/miniconda/conda/envs/exp1/lib/python3.7/site-packages/torchvision/models/resnet.py:143(forward)
      480    0.551    0.001    0.551    0.001 {method 'flip' of 'torch._C._TensorBase' objects}
     1940    0.522    0.000    0.522    0.000 {method 'copy_' of 'torch._C._TensorBase' objects}
     1390    0.500    0.000    0.500    0.000 {built-in method numpy.zeros}
      724    0.427    0.001    0.434    0.001 {method 'draw_path' of 'matplotlib.backends._backend_agg.RendererAgg' objects}
